,4,3,6,5,8,7,2
0,9.0,6.0,1.0,,,,
1,1.0,,,1.0,,,
2,2.0,,2.0,,1.0,,
3,3.0,2.0,1.0,,1.0,,
4,1.0,1.0,414.0,,2.0,,
5,3.0,1.0,37.0,,19.0,,
6,1.0,,109.0,,29.0,,
7,,,,,,,
8,,,,,,,
9,,,,,1.0,1.0,
10,,,,,,,
11,1.0,1.0,,,,2.0,
12,,,58.0,4.0,,,
13,,,5.0,,2.0,,
14,1.0,,1.0,,2.0,,
15,,,10.0,1.0,,,
16,,,16.0,,,,
17,,,1.0,,,,
18,1.0,1.0,14.0,1.0,1.0,1.0,
19,3.0,,2.0,,1.0,,
20,,,7.0,,2.0,,
21,,2.0,33.0,,6.0,,
22,2.0,2.0,192.0,,13.0,,
23,,,2.0,,,1.0,
24,1.0,,1.0,,,,
25,2.0,,,,4.0,,
26,2.0,2.0,,,,,
27,,,,,,,
28,2.0,,3.0,,,,
29,1.0,,11.0,,2.0,,
30,1.0,1.0,9.0,,,,
31,3.0,,3.0,,1.0,,
32,1.0,,6.0,,,,1.0
33,,,4.0,1.0,1.0,,
34,,,,,,,
35,1.0,,1.0,,,,
36,1.0,3.0,72.0,,19.0,,
37,1.0,,157.0,,24.0,,
38,1.0,,,,1.0,,
39,,,,,1.0,,
40,,,4.0,1.0,2.0,,
41,3.0,,1.0,1.0,3.0,,
42,32.0,,,,1.0,,
43,,7.0,1070.0,,1482.0,,
44,,,3.0,,1.0,,
45,2.0,,1.0,,,,
46,2.0,,,,,,
47,2.0,,1.0,,,,
48,1.0,3.0,1.0,,,,
49,1.0,1.0,,,,,
total,88.0,33.0,2253.0,10.0,1622.0,5.0,1.0
mean,2.838709677419355,2.357142857142857,64.37142857142857,1.4285714285714286,62.38461538461539,1.25,1.0
std,5.62196154495059,1.9057460827371866,192.24770873174285,1.1338934190276815,289.65773967537297,0.5,
