,0,1
0,13.0,1.0
1,17.0,27.0
2,23.0,7.0
3,19.0,288.0
4,18.0,46.0
5,43.0,17.0
6,11.0,4.0
7,6.0,2.0
8,16.0,32.0
9,151.0,47.0
10,38.0,18.0
11,3.0,17.0
12,19.0,
13,17.0,107.0
14,2.0,7.0
15,11.0,
16,26.0,9.0
17,9.0,4.0
18,19.0,10.0
19,24.0,10.0
20,24.0,3.0
21,9.0,328.0
22,39.0,2.0
23,6.0,14.0
24,41.0,12.0
25,28.0,199.0
26,37.0,16.0
27,77.0,7.0
28,4.0,3.0
29,17.0,1074.0
30,32.0,15.0
31,11.0,37.0
32,79.0,37.0
33,15.0,
34,22.0,18.0
35,94.0,4.0
36,39.0,104.0
37,42.0,25.0
38,49.0,772.0
39,79.0,62.0
total,1229.0,3385.0
mean,30.725,91.48648648648648
std,29.54178917554432,217.81791855962092
