,dataset,method,fit_time,pred_time_mean,pred_time_std,fit_mem_peak_cpu,pred_mem_peak_cpu_mean,pred_mem_peak_cpu_std,fit_mem_peak_gpu,pred_mem_peak_gpu
0,Flowcyt,FCNN,4 m 29.74 s,0.63 s,0.20 s,6.30 GB,2.49 GB,0.22 GB,0.12 GB,
1,Flowcyt,SOM-classifier,3 m 39.74 s,5.70 s,1.74 s,1.13 GB,3.85 GB,0.77 GB,NaN,
2,Imstat,FCNN,3 m 49.94 s,0.03 s,0.05 s,10.37 GB,1.52 GB,0.01 GB,0.12 GB,
3,Imstat,SOM-classifier,55.67 s,0.28 s,0.12 s,1.44 GB,1.13 GB,0.08 GB,NaN,
4,LT1,FCNN,14 m 53.09 s,0.05 s,0.05 s,9.26 GB,1.79 GB,0.01 GB,0.12 GB,
5,LT1,SOM-classifier,56.42 s,0.72 s,0.09 s,1.05 GB,1.40 GB,0.04 GB,NaN,
6,LT2,FCNN,16 m 20.64 s,0.06 s,0.06 s,10.16 GB,1.93 GB,0.02 GB,0.12 GB,
7,LT2,SOM-classifier,57.72 s,0.72 s,0.11 s,1.16 GB,1.52 GB,0.05 GB,NaN,
8,LT1b,FCNN,18.74 s,0.05 s,0.05 s,9.76 GB,1.65 GB,0.02 GB,0.12 GB,
9,LT1b,SOM-classifier,57.03 s,0.72 s,0.09 s,1.21 GB,1.52 GB,0.05 GB,NaN,
10,LT2b,FCNN,15.15 s,0.05 s,0.06 s,8.92 GB,1.67 GB,0.02 GB,0.12 GB,
11,LT2b,SOM-classifier,57.64 s,0.71 s,0.09 s,1.21 GB,1.52 GB,0.05 GB,NaN,
