,dataset,method,fit_time,pred_time_mean,pred_time_std,fit_mem_peak_cpu,pred_mem_peak_cpu_mean,pred_mem_peak_cpu_std,fit_mem_peak_gpu,pred_mem_peak_gpu
0,Flowcyt,GateMeClass,4415.24766839802,536.1818895208368,261.03520480633546,51448.5546875,43596.505208333336,25.21193318141277,,
1,Flowcyt,DGCyTOF,4930.076541191898,264.1888413987278,65.49644417135588,14200.89453125,10858.247395833334,1313.107799523069,224.0,
2,Flowcyt,FCNN,6288.328098467551,0.5760318286872158,0.16770494395900698,19719.09765625,4207.5947265625,278.10109706264603,224.0,
3,Flowcyt,SOM-classifier,10196.148712335038,32.331989950325806,9.840324012908491,58670.2265625,6608.962239583333,1161.0364868824447,,
4,Imstat,GateMeClass,1100.9089561989967,4.333695147459512,2.689783493985281,10553.4140625,10056.59328125,1.6777160951241565,,
5,Imstat,DGCyTOF,1275.5379129722714,52.492974337199705,12.266271000393981,11636.74609375,6341.448515625,997.1360948433071,224.0,
6,Imstat,FCNN,1571.0470751710236,0.028824799489229874,0.013577507683950215,7761.84375,1573.1521875,25.034213200764942,224.0,
7,Imstat,SOM-classifier,4161.333626936015,1.498917860193178,0.647995371938123,15002.87109375,1273.896171875,80.5828771335733,,
8,LT1,GateMeClass,1710.733813783998,10.591312068350089,3.0787718227109537,23952.34765625,22640.083984375,1.532750646475425,,
9,LT1,DGCyTOF,2379.723959099036,66.56857268312015,19.55420921911631,11594.4375,6634.08984375,767.2300621569575,224.0,
10,LT1,FCNN,2943.123351930175,0.06759062551427628,0.008661708854766184,11905.3125,2216.499609375,24.16306966575388,224.0,
11,LT1,SOM-classifier,6170.386529234005,3.9216748758510223,0.49005968728695365,27535.03515625,2133.60458984375,56.46524822821616,,
12,LT2,GateMeClass,1839.167999504003,12.727904836565125,1.8495782193990076,25497.16796875,23075.30829326923,528.7477362989355,,
13,LT2,DGCyTOF,2442.90864830371,52.13396868710406,15.066184432340863,12398.578125,6550.9970703125,594.3244896779119,224.0,
14,LT2,FCNN,3077.952923647128,0.05464067682623859,0.00831435876050435,13773.15234375,2319.61611328125,23.40612779125529,224.0,
15,LT2,SOM-classifier,6390.206283770036,3.959295390051557,0.5735467211209077,29290.01171875,2338.7396484375,76.85341570484027,,
16,LT1b,GateMeClass,1537.2602290380164,11.39687440390262,2.2762619036573097,27189.08984375,26555.15380859375,448.5778561466879,,
17,LT1b,DGCyTOF,2327.8729692618363,57.52801803713665,13.538439801990668,12592.40625,6588.49892578125,902.474182350507,224.0,
18,LT1b,FCNN,2933.4227072387,0.05424894278403367,0.008390971039267614,13676.953125,2290.669921875,22.657333397228747,224.0,
19,LT1b,SOM-classifier,6192.121445603028,3.9699841419307633,0.5733999958433371,27924.3984375,2329.0240234375,56.709541893706536,,
20,LT2b,GateMeClass,1767.7447550159995,11.06937099482675,1.9182890029265405,27416.39453125,27357.10791015625,0.8867554544444337,,
21,LT2b,DGCyTOF,2405.3836282338016,55.026411317766176,18.37237423359929,13040.66796875,6928.89892578125,1384.822510191435,224.0,
22,LT2b,FCNN,3054.4374831798486,0.05630907977465536,0.007385446341503212,14434.046875,2355.04619140625,19.162488634933453,224.0,
23,LT2b,SOM-classifier,6381.695116663992,3.940925274696201,0.5183773139966875,29175.0859375,2372.97607421875,61.19573467400854,,
