,dataset,method,fit_time,pred_time_mean,pred_time_std,fit_mem_peak_cpu,pred_mem_peak_cpu_mean,pred_mem_peak_cpu_std,fit_mem_peak_gpu,pred_mem_peak_gpu
0,Flowcyt,FCNN,269.7387568380218,0.6279641353370001,0.1978358216726652,6004.94140625,2376.6295572916665,214.4377151137379,117.0,
1,Flowcyt,SOM-classifier,219.7389780019876,5.704876480003198,1.7435123159438837,1078.171875,3670.4010416666665,736.060881130928,,
2,Imstat,FCNN,229.9416417790344,0.03371916269999925,0.04539824258283608,9891.8515625,1449.2046875,12.156142281005545,117.0,
3,Imstat,SOM-classifier,55.67146755201975,0.2792065127391834,0.12392938577954918,1374.92578125,1076.71484375,79.50557833609739,,
4,LT1,FCNN,893.0935954090091,0.04978448162437411,0.054333640801270795,8834.3359375,1711.664453125,13.884148895904705,117.0,
5,LT1,SOM-classifier,56.41555114701623,0.7197238361433846,0.09490061427323739,1002.25,1331.84453125,38.39094066657097,,
6,LT2,FCNN,980.6417841369984,0.05537206467270148,0.05514764973870546,9693.0859375,1838.32509765625,16.319845529986047,117.0,
7,LT2,SOM-classifier,57.71514719899278,0.7186924092166009,0.10765007547108732,1103.4609375,1445.2970703125,49.034182839113946,,
8,LT1b,FCNN,18.743573585990816,0.05438986247027054,0.05140736926433427,9311.84375,1571.4033203125,16.320099154622323,117.0,
9,LT1b,SOM-classifier,57.0288578820182,0.7201845176561619,0.08586417235978282,1152.70703125,1448.53427734375,50.93099373406868,,
10,LT2b,FCNN,15.154169371002354,0.050809761699929325,0.05586793418517973,8508.703125,1588.7935546875,14.916473222611266,117.0,
11,LT2b,SOM-classifier,57.64021045801928,0.7075208727008431,0.09201448815308406,1157.296875,1449.82333984375,48.983707080590385,,
