,dataset,method,fit_time,pred_time_mean,pred_time_std,fit_mem_peak_cpu,pred_mem_peak_cpu_mean,pred_mem_peak_cpu_std,fit_mem_peak_gpu,pred_mem_peak_gpu
0,Flowcyt,GateMeClass,1 h 13 m 35.25 s,8 m 56.18 s,4 m 21.04 s,53.95 GB,45.71 GB,0.03 GB,NaN,
1,Flowcyt,DGCyTOF,1 h 22 m 10.08 s,4 m 24.19 s,1 m 5.50 s,14.89 GB,11.39 GB,1.38 GB,0.23 GB,
2,Flowcyt,FCNN,1 h 44 m 48.33 s,0.58 s,0.17 s,20.68 GB,4.41 GB,0.29 GB,0.23 GB,
3,Flowcyt,SOM-classifier,2 h 49 m 56.15 s,32.33 s,9.84 s,61.52 GB,6.93 GB,1.22 GB,NaN,
4,Imstat,GateMeClass,18 m 20.91 s,4.33 s,2.69 s,11.07 GB,10.55 GB,0.00 GB,NaN,
5,Imstat,DGCyTOF,21 m 15.54 s,52.49 s,12.27 s,12.20 GB,6.65 GB,1.05 GB,0.23 GB,
6,Imstat,FCNN,26 m 11.05 s,0.03 s,0.01 s,8.14 GB,1.65 GB,0.03 GB,0.23 GB,
7,Imstat,SOM-classifier,1 h 9 m 21.33 s,1.50 s,0.65 s,15.73 GB,1.34 GB,0.08 GB,NaN,
8,LT1,GateMeClass,28 m 30.73 s,10.59 s,3.08 s,25.12 GB,23.74 GB,0.00 GB,NaN,
9,LT1,DGCyTOF,39 m 39.72 s,1 m 6.57 s,19.55 s,12.16 GB,6.96 GB,0.80 GB,0.23 GB,
10,LT1,FCNN,49 m 3.12 s,0.07 s,0.01 s,12.48 GB,2.32 GB,0.03 GB,0.23 GB,
11,LT1,SOM-classifier,1 h 42 m 50.39 s,3.92 s,0.49 s,28.87 GB,2.24 GB,0.06 GB,NaN,
12,LT2,GateMeClass,30 m 39.17 s,12.73 s,1.85 s,26.74 GB,24.20 GB,0.55 GB,NaN,
13,LT2,DGCyTOF,40 m 42.91 s,52.13 s,15.07 s,13.00 GB,6.87 GB,0.62 GB,0.23 GB,
14,LT2,FCNN,51 m 17.95 s,0.05 s,0.01 s,14.44 GB,2.43 GB,0.02 GB,0.23 GB,
15,LT2,SOM-classifier,1 h 46 m 30.21 s,3.96 s,0.57 s,30.71 GB,2.45 GB,0.08 GB,NaN,
16,LT1b,GateMeClass,25 m 37.26 s,11.40 s,2.28 s,28.51 GB,27.85 GB,0.47 GB,NaN,
17,LT1b,DGCyTOF,38 m 47.87 s,57.53 s,13.54 s,13.20 GB,6.91 GB,0.95 GB,0.23 GB,
18,LT1b,FCNN,48 m 53.42 s,0.05 s,0.01 s,14.34 GB,2.40 GB,0.02 GB,0.23 GB,
19,LT1b,SOM-classifier,1 h 43 m 12.12 s,3.97 s,0.57 s,29.28 GB,2.44 GB,0.06 GB,NaN,
20,LT2b,GateMeClass,29 m 27.74 s,11.07 s,1.92 s,28.75 GB,28.69 GB,0.00 GB,NaN,
21,LT2b,DGCyTOF,40 m 5.38 s,55.03 s,18.37 s,13.67 GB,7.27 GB,1.45 GB,0.23 GB,
22,LT2b,FCNN,50 m 54.44 s,0.06 s,0.01 s,15.14 GB,2.47 GB,0.02 GB,0.23 GB,
23,LT2b,SOM-classifier,1 h 46 m 21.70 s,3.94 s,0.52 s,30.59 GB,2.49 GB,0.06 GB,NaN,
