,10,1,9
0,2.0,,
1,1.0,1.0,1.0
2,1.0,,1.0
3,,12.0,2.0
4,,2.0,3.0
5,2.0,,1.0
6,,1.0,
7,1.0,,
8,1.0,1.0,1.0
9,,1.0,
10,,,
11,,2.0,
12,,,
13,,,1.0
14,1.0,,
15,1.0,,
16,,,
17,,,
18,2.0,1.0,
19,,,1.0
20,2.0,1.0,
21,1.0,,
22,1.0,,1.0
23,1.0,,
24,1.0,,
25,6.0,3.0,12.0
26,,1.0,
27,,,3.0
28,1.0,,
29,1.0,64.0,42.0
30,,,1.0
31,,1.0,1.0
32,,1.0,
33,1.0,,
34,1.0,,
35,,2.0,3.0
36,3.0,7.0,1.0
37,1.0,1.0,2.0
38,,6.0,3.0
39,,,1.0
total,32.0,108.0,81.0
mean,1.5238095238095237,6.0,4.2631578947368425
std,1.1670067531530237,14.768806554993654,9.480049843183302
