,5,4
0,88.0,
1,12.0,
2,288.0,105.0
3,4.0,
4,,
5,1.0,
6,36.0,
7,1.0,
8,,
9,37.0,
10,,
11,18.0,
total,485.0,105.0
mean,53.888888888888886,105.0
std,91.99381017824575,
