,0,1,2,3,4,5
0,1,0,370,616451,18171,1
1,0,0,550,22834,82980,0
2,0,0,116352,82,0,9
3,0,0,201,1679,4,27
4,0,0,1035,48867,34587,7
5,17143,17,266677,5627547,2360523,367397
