,0,1
0,16.0,
1,3.0,
2,3.0,
3,2.0,
4,17.0,1.0
5,2.0,
6,5.0,2.0
7,5.0,
8,17.0,8.0
9,382.0,6.0
10,2.0,1.0
11,6.0,2.0
12,8.0,
13,4.0,5.0
14,6.0,
15,9.0,
16,8.0,3.0
17,5.0,
18,22.0,1.0
19,227.0,
20,24.0,2.0
21,,
22,2.0,
23,20.0,1.0
24,9.0,
25,4.0,3.0
26,9.0,8.0
27,7.0,2.0
28,4.0,1.0
29,8.0,3.0
30,25.0,8.0
31,20.0,
32,15.0,1.0
33,16.0,
34,15.0,1.0
35,5.0,1.0
36,3.0,3.0
37,18.0,23.0
38,136.0,1.0
39,8.0,
total,1097.0,87.0
mean,28.128205128205128,3.782608695652174
std,70.75762167880592,4.8331856776319295
