,0,1,2,3,4,5
0,0.9967272904896038,0.9854355959380011,0.9995792131285504,0.7777777777777778,0.6097203728362184,0.29814387225263367
1,0.9829379003959695,0.9111641791044777,0.9978718876356671,0.9754601226993865,0.8878058896723351,0.4890696594739711
2,0.9512487468944776,0.09111880046136102,0.9617834394904459,0.2483221476510067,0.7293962097840458,0.41234080664415684
3,0.99809784064727,0.9114583333333334,0.9995520917316134,1.0,0.643397608005858,0.11030079634988699
4,0.9835767864192657,0.11735333968986802,0.9739930073279371,0.960431654676259,0.6118793503480279,0.3271871700995036
5,0.9933459148146943,0.2557422537382457,0.9854923101315998,0.3076923076923077,0.744060475161987,0.41886632417568237
6,0.9938771875139155,0.5815715995213403,0.9952251827399198,0.9202898550724637,0.9185154178875401,0.6232356313026207
7,0.9920324949226683,0.958212793314047,0.8675115207373272,0.25,0.9384770549672213,0.42332620000568333
8,0.9924291455319918,0.07695574619892975,0.999921679197995,0.8787878787878788,0.9483139856274184,0.32379063723452267
9,0.984333859926277,0.986995753715499,1.0,0.9267241379310345,0.7949336550060314,0.4790220288450396
10,0.965248431009369,0.9852148199686902,0.7630658814869341,0.8823529411764706,0.007583417593528817,0.20522674510555425
mean,0.9848959635059548,0.6237475649985268,0.958545110327999,0.7388944384967805,0.7121894033536557,0.3736827155899323
std,0.014484694511158561,0.40583190689040355,0.07560584685591788,0.3080063508009581,0.2665135756354078,0.1417011922923019
