,setting,failure_point,error_type,error_message
0,imstat_log10_w_custom_cutoffs,fit,RRuntimeError,"Error in predict.Mclust(cl, X[-index_sel]) : object not of class 'Mclust' "
1,lymphoma_tube1_log10_w_custom_cutoffs,fit,RRuntimeError,"Error in predict.Mclust(cl, X[-index_sel]) : object not of class 'Mclust' "
2,lymphoma_tube2_log10_w_custom_cutoffs,fit,RRuntimeError,"Error in predict.Mclust(cl, X[-index_sel]) : object not of class 'Mclust' "
3,lymphoma_tube1_binary_log10_w_custom_cutoffs,fit,RRuntimeError,"Error in predict.Mclust(cl, X[-index_sel]) : object not of class 'Mclust' "
4,lymphoma_tube2_binary_log10_w_custom_cutoffs,fit,RRuntimeError,"Error in predict.Mclust(cl, X[-index_sel]) : object not of class 'Mclust' "
5,flowcyt_log10_cutoff100,predict_sample_06_test,RRuntimeError,"Error in predict.Mclust(cl, X[-index_sel]) : object not of class 'Mclust' "
