,macro,micro,weighted,binary
0,0.9655353982165795,0.99908,0.9991004910926984,0.9313835770528683
1,0.9924782222766706,0.99423,0.9942689791976284,0.98676279740447
2,0.9626229827518296,0.99800571026844,0.998000497804346,0.9262926292629263
3,0.9946893164271591,0.99399,0.9940217047602986,0.9912052768338997
4,0.9852773019163464,0.99157,0.9914769569550314,0.9784858387799564
5,0.9569520964392051,0.9945776497500636,0.9946587765050691,0.9162057522123894
6,0.942736359463622,0.99927,0.9992802496477676,0.8857938718662952
7,0.9853761999171284,0.99782,0.9978359882239334,0.9715932482503088
8,0.991710508855927,0.99104,0.9910957340412788,0.9869872850187397
9,0.9531658754469963,0.98804,0.9877661255165214,0.9144830387974812
10,0.920402724166092,0.99791,0.9981527009926646,0.8410886742756805
11,0.9800643072057686,0.99523,0.9951572636464832,0.963755707762557
12,0.9414143140465191,0.99881,0.9987419218070995,0.8837209302325582
13,0.9914602473272602,0.9945126353790614,0.9945050061118933,0.9867430441898527
14,0.9132115798298062,0.99421,0.9939887382952137,0.8300304878048781
15,0.9656118685823634,0.9993,0.9993260124152943,0.9313850063532402
16,0.9894361419269122,0.99904,0.99904,0.9793637145313844
17,0.9808862534564993,0.99849,0.9984560387076004,0.9630118890356671
18,0.9821501572849503,0.97997,0.9800596661506363,0.9845827712468683
19,0.9847902183123565,0.9984511575913481,0.9984562359348268,0.9702878365831012
20,0.9683681253214294,0.99385,0.9936757200431294,0.9415558242644095
21,0.9917929253712182,0.99632,0.996288259545241,0.9871794871794872
22,0.9430949489988495,0.99892,0.9989064874009196,0.8867924528301887
23,0.9339780933668196,0.998,0.9980130128471377,0.8689138576779026
24,0.9645242532745182,0.99786,0.9978340082816838,0.9303246239113222
25,0.8545924067267361,0.87372,0.9099626687962343,0.9991698313167888
26,0.972288425857619,0.99767,0.9976092946672119,0.9463459759481961
27,0.9888189608596114,0.99291,0.9928649810245874,0.9839989420788151
28,0.9820864531970181,0.99727,0.997238310927933,0.9660818713450292
29,0.9602248203596335,0.96076,0.9610443381557991,0.9730098093793792
30,0.9679284588993005,0.99624,0.9962053805577704,0.9380841121495327
31,0.9937820803744859,0.99538,0.9953714389519126,0.9914040114613181
32,0.8794281303487353,0.97363,0.9770772746549247,0.7650527270665608
33,0.9464011528642933,0.99932,0.9993456213905841,0.8930232558139535
34,0.9717624029624159,0.97951,0.979214184801377,0.9633442129048456
35,0.8797902832172318,0.99812,0.9982586853835027,0.7602339181286549
36,0.9828150788323162,0.97844,0.9787220746748736,0.9909300004339713
37,0.9851777502316801,0.9949,0.9949773302398348,0.9716584775332906
38,0.5238545674973034,0.92355,0.9958558983384447,0.04797001873828857
39,0.9894902268439265,0.99794,0.9979322585678827,0.9802742362280491
mean,0.9515042904813784,0.9886964288247226,0.9914946579264319,0.9152127755971275
std,0.07701639381142883,0.023147802246275315,0.015410582756698155,0.15266001044302574
