,macro,micro,weighted
0,0.8762421828729914,0.9827326865775635,0.9834259216553292
1,0.8540724487945389,0.9746379204085226,0.9751536200627686
2,0.5880727298388,0.8988734157721792,0.9068746126664463
3,0.7406588156524845,0.9815822210133478,0.9843200298842891
4,0.8667344276734892,0.9582293958914259,0.9579943809184338
5,0.8300206895156744,0.9734140428912483,0.9735326177971977
6,0.8934184675143979,0.9891931462221513,0.9893264299322515
7,0.9031361093183105,0.9766402131652607,0.9764167541435711
8,0.8294886060834677,0.9737375330153348,0.9742716114015645
9,0.8778441030708789,0.9602657277667884,0.9620175715801187
10,0.8642690011444177,0.9780924161818143,0.9779196331199076
11,0.8878128864608094,0.960322261631087,0.95987217993034
mean,0.8343142056616885,0.9673100817113937,0.9684271135910182
std,0.08869321497345704,0.02358829765178622,0.021712092054759092
