,10,7,1,9
0,18.0,13.0,12.0,1.0
1,20.0,1.0,8.0,1.0
2,49.0,3.0,5.0,4.0
3,28.0,2.0,7.0,9.0
4,24.0,8.0,51.0,7.0
5,9.0,16.0,5.0,3.0
6,28.0,2.0,,2.0
7,8.0,1.0,,3.0
8,35.0,,705.0,1.0
9,503.0,18.0,6.0,41.0
10,9.0,1.0,1.0,
11,14.0,3.0,8.0,2.0
12,1.0,,,
13,6.0,,8.0,
14,28.0,,173.0,7.0
15,22.0,1.0,1.0,1.0
16,25.0,3.0,3.0,
17,11.0,4.0,59.0,3.0
18,198.0,5.0,123.0,9.0
19,119.0,7.0,1.0,8.0
20,84.0,5.0,20.0,4.0
21,1.0,,1.0,1.0
22,3.0,,,
23,40.0,,2.0,
24,74.0,7.0,11.0,
25,11.0,1.0,331.0,25.0
26,22.0,5.0,7.0,3.0
27,37.0,3.0,9.0,1.0
28,24.0,,2.0,1.0
29,177.0,,1124.0,1102.0
30,45.0,6.0,9.0,12.0
31,69.0,5.0,71.0,22.0
32,38.0,36.0,4.0,4.0
33,8.0,14.0,1.0,
34,79.0,1.0,23.0,1.0
35,45.0,7.0,,3.0
36,24.0,2.0,3.0,1.0
37,31.0,,20.0,2.0
38,3602.0,2.0,8.0,2.0
39,12.0,5.0,3.0,
total,5581.0,187.0,2825.0,1286.0
mean,139.525,6.233333333333333,80.71428571428571,41.483870967741936
std,567.8867252298717,7.242991063105758,223.6315998175902,197.01368327567874
