,10,1,9
0,,,
1,3.0,1.0,
2,1.0,2.0,
3,12.0,4.0,1.0
4,4.0,28.0,5.0
5,8.0,1.0,1.0
6,1.0,,
7,4.0,1.0,2.0
8,96.0,12.0,
9,25.0,420.0,61.0
10,6.0,1.0,
11,4.0,4.0,
12,7.0,,
13,2.0,1.0,
14,2.0,,1.0
15,4.0,1.0,
16,12.0,2.0,1.0
17,1.0,2.0,
18,2.0,2.0,
19,11.0,,1.0
20,3.0,3.0,
21,,,
22,2.0,,
23,,3.0,4.0
24,6.0,1.0,
25,22.0,109.0,73.0
26,40.0,,
27,,2.0,
28,1.0,,
29,14.0,4.0,
30,5.0,2.0,
31,18.0,38.0,6.0
32,2.0,3.0,1.0
33,9.0,,
34,8.0,270.0,13.0
35,16.0,,
36,8.0,103.0,11.0
37,3.0,2.0,2.0
38,18.0,2180.0,107.0
39,2.0,1.0,
total,382.0,3203.0,290.0
mean,10.61111111111111,110.44827586206897,18.125
std,16.83411125029479,408.52116453363976,32.27357019812548
