,10,1,9,7
0,5.0,,,
1,15.0,,,
2,1.0,1.0,,
3,4.0,,,
4,4.0,2.0,,
5,6.0,1.0,,
6,25.0,,,
7,1.0,,,
8,12.0,1.0,,
9,119.0,2.0,2.0,
10,,,,
11,12.0,,,
12,,,,
13,2.0,,1.0,
14,38.0,1.0,,
15,,,,
16,8.0,,,
17,,1.0,,
18,14.0,,1.0,
19,3.0,1.0,1.0,
20,22.0,1.0,,
21,,,,
22,2.0,,,
23,62.0,,,1.0
24,14.0,,,
25,2.0,,,
26,9.0,1.0,,
27,9.0,,,
28,44.0,,,
29,2.0,2.0,,
30,6.0,1.0,1.0,
31,166.0,3.0,1.0,
32,10.0,,,
33,2.0,,,
34,2.0,,,
35,21.0,,1.0,
36,,,,
37,29.0,4.0,,
38,3.0,,,
39,6.0,,,1.0
total,680.0,22.0,8.0,2.0
mean,20.0,1.5714285714285714,1.1428571428571428,1.0
std,34.45330612626752,0.9376144618769909,0.37796447300922725,0.0
