,4,8,3,2,7,6,5,1
0,16.0,9.0,9.0,5.0,3.0,1.0,,
1,,4.0,,,8.0,,,
2,20.0,10.0,1.0,,2.0,2.0,2.0,1.0
3,34.0,8.0,5.0,,4.0,2.0,1.0,3.0
4,1.0,7.0,2.0,,2.0,688.0,2.0,
5,,86.0,5.0,1.0,14.0,62.0,1.0,
6,2.0,119.0,1.0,,,92.0,,
7,1.0,7.0,,5.0,6.0,2.0,,
8,8.0,12.0,,4.0,,,,
9,1.0,3.0,,1.0,4.0,1.0,,1.0
10,7.0,,,,3.0,3.0,1.0,
11,4.0,2.0,,,2.0,3.0,,
12,32.0,6.0,4.0,1.0,3.0,22.0,1.0,
13,,9.0,1.0,,3.0,1.0,1.0,
14,,10.0,1.0,,17.0,1.0,,
15,3.0,3.0,2.0,,1.0,,2.0,
16,17.0,15.0,14.0,,15.0,3.0,1.0,7.0
17,1.0,5.0,1.0,1.0,63.0,,,1.0
18,26.0,10.0,4.0,,12.0,3.0,1.0,2.0
19,4.0,6.0,3.0,,,2.0,,1.0
20,,7.0,2.0,,1.0,5.0,,
21,,13.0,3.0,,,26.0,1.0,
22,1.0,55.0,1.0,,1.0,231.0,3.0,
23,,11.0,,1.0,23.0,2.0,,
24,3.0,,1.0,,1.0,1.0,,
25,,6.0,3.0,,4.0,,,
26,1.0,,6.0,,,1.0,,
27,2.0,7.0,2.0,,10.0,2.0,,2.0
28,1.0,5.0,3.0,,1.0,7.0,,
29,3.0,15.0,6.0,,8.0,12.0,,
30,,3.0,2.0,,24.0,1.0,,
31,84.0,5.0,,,1.0,3.0,,
32,1.0,2.0,,2.0,,3.0,,
33,5.0,1.0,1.0,,59.0,2.0,,
34,4.0,,4.0,1.0,,3.0,,1.0
35,,1.0,1.0,1.0,8.0,3.0,,
36,10.0,95.0,3.0,,,66.0,1.0,
37,43.0,142.0,2.0,,,219.0,2.0,
38,2.0,10.0,2.0,1.0,6.0,,,
39,2.0,3.0,2.0,,,,2.0,
40,1.0,5.0,2.0,,,1.0,2.0,
41,2.0,5.0,1.0,,,,,
42,4.0,2.0,2.0,,4.0,1.0,,
43,,1904.0,8.0,,,177.0,,
44,,7.0,1.0,1.0,,,,
45,1.0,5.0,,1.0,,1.0,2.0,
46,1.0,7.0,,,4.0,,,
47,1.0,8.0,,,,2.0,3.0,
48,,1.0,3.0,2.0,4.0,1.0,1.0,
49,2.0,6.0,1.0,,,,,
total,351.0,2662.0,115.0,28.0,321.0,1658.0,30.0,19.0
mean,9.486486486486486,57.869565217391305,3.026315789473684,1.8666666666666667,9.727272727272727,42.51282051282051,1.5789473684210527,2.111111111111111
std,16.44962279476615,279.9669511206756,2.696211978446229,1.505545305418162,14.577964379656901,120.70688110915019,0.6924826089821247,1.9649710204252662
