,macro,micro,weighted,binary
0,0.6655157279437762,0.96803,0.9781805035923009,0.3474178403755869
1,0.9886949808923655,0.98982,0.9898520252063228,0.9851286995646712
2,0.89030243285085,0.99396,0.9945870126891171,0.7836676217765043
3,0.9852644562336275,0.98592,0.9858924007744861,0.9883724771248307
4,0.7003407189654594,0.89545,0.9199755782867153,0.4585426485058781
5,0.9186540714175367,0.9908063456952269,0.9914365428135832,0.8420427553444181
6,0.14747421971362265,0.17005,0.2851902252115705,0.00874269948762048
7,0.8871090117997369,0.97561,0.9780199104657823,0.7871542019373419
8,0.9880223108517043,0.98841,0.9883915324551115,0.9901772169063742
9,0.8119760622412364,0.9455,0.9533526715976318,0.6535282898919262
10,0.16922149289280317,0.19193,0.3029205240314071,0.03186888231277032
11,0.928416454935344,0.9877,0.9884908468167166,0.8632725655847043
12,0.15937747925338838,0.18675,0.3101121640187415,0.007687145384662314
13,0.9909451543032752,0.99514,0.9951636662662721,0.9847820641282565
14,0.17261314479905393,0.17822,0.23412644905297086,0.10450265887891204
15,0.1911251340257195,0.22773,0.36061600501084756,0.01905318378701081
16,0.8883969694239644,0.98428,0.9858833951601346,0.784952120383037
17,0.12292910115713547,0.13448,0.22159688712509681,0.022276444805928337
18,0.9923921726221357,0.99776,0.997769202208891,0.9860017497812773
19,0.8277835849978508,0.9692342724133133,0.974028207018424,0.67170626349892
20,0.9116608109849194,0.98848,0.9893779208598898,0.8292827504445762
21,0.3721941595658607,0.4236910339808033,0.3259729338163625,0.5519997171045652
22,0.1937894464721478,0.2348,0.37393840365129244,0.011956718229476021
23,0.21648515272791258,0.2654,0.409211921900566,0.02071613298850881
24,0.7397792753600954,0.96928,0.9767482065603922,0.49540078843626806
25,0.6486961667699966,0.77024,0.7238417471719399,0.8553330814758846
26,0.12745849557854555,0.1377,0.21921420770371228,0.03292734898952516
27,0.9403740654008923,0.98024,0.9811809702301179,0.8916191311978938
28,0.731724757460375,0.94522,0.9583013939974173,0.4924017790956264
29,0.9438857453685805,0.94453,0.9442902759481595,0.949898387752337
30,0.7214451556409978,0.93812,0.9533075809314181,0.47577092511013214
31,0.9731658404991552,0.98457,0.9845869686532125,0.9556723835789595
32,0.936017633916121,0.97999,0.9810259106761294,0.8829756126089245
33,0.3987361462931664,0.64506,0.7816568637857444,0.013891204089570484
34,0.9538810784335839,0.99084,0.9906781602183418,0.9125954198473283
35,0.4587024460712414,0.76904,0.8636929949342397,0.048842764187463965
36,0.39982920174711234,0.40993,0.3640197580373452,0.47768935940445945
37,0.9821770676679926,0.99113,0.9912248663447103,0.9695450643776824
38,0.9492970152020108,0.94947,0.9494870882089436,0.9522585765440614
39,0.9523642343718012,0.99267,0.9929719043596003,0.9085464753587025
mean,0.6744554644213273,0.7516795413022336,0.7797578956947913,0.5762550287570642
std,0.3246388980901108,0.3347745179000324,0.2999254674961045,0.38160863518673166
