,macro,micro,weighted,binary
0,0.6051759622335331,0.96803,0.9932256747799543,0.2103831891223733
1,0.9857271620702808,0.98982,0.990059843935062,0.9723728227015803
2,0.823627951432463,0.99396,0.9960331783183132,0.6473372781065089
3,0.9872561422338473,0.98592,0.9860279612651188,0.9811772421708477
4,0.64939767417288,0.89545,0.9662020763413415,0.3006247453483634
5,0.8686363262325801,0.9908063456952269,0.9929592807685014,0.7377731529656608
6,0.5021952711699715,0.17005,0.9963560693849642,0.004390542339943139
7,0.8250870043733339,0.97561,0.9840370507942852,0.6503244412400865
8,0.9896578725162188,0.98841,0.9885234790690153,0.9830371567043619
9,0.747099759056708,0.9455,0.9702944018487267,0.49695446195494536
10,0.5080962294702752,0.19193,0.9869153597039093,0.016192458940550544
11,0.8802712663653869,0.9877,0.9906049667587131,0.7606268364348677
12,0.5019292013718766,0.18675,0.9968621539686429,0.003858402743753062
13,0.9862366908207996,0.99514,0.995241030458771,0.9730816831683168
14,0.5257456841489361,0.17822,0.9507481843280425,0.0551624964049468
15,0.5048091103787015,0.22773,0.9925721366556806,0.009618220757402825
16,0.8237573489796637,0.98428,0.9897399541163379,0.6476297968397291
17,0.5056318398866778,0.13448,0.9902510598825653,0.011263679773355571
18,0.9883864246673868,0.99776,0.997792193928683,0.9772079772079773
19,0.7529348633558031,0.9692342724133133,0.9844098887048087,0.5058967059780398
20,0.8568174989101266,0.98848,0.9915943448750669,0.7139576422556775
21,0.5975046734612541,0.4236910339808033,0.6513456468046749,0.38805747526475415
22,0.5030071574243664,0.2348,0.9953978462777496,0.006014314848732837
23,0.5052332394897423,0.2654,0.9923113245416706,0.010466478979484623
24,0.6648749689706651,0.96928,0.9897577180334958,0.32983377077865267
25,0.8607546140806097,0.77024,0.8202539071428997,0.749384909032735
26,0.5083696321466852,0.1377,0.9855657323998267,0.01673926429337043
27,0.9030067167803689,0.98024,0.9839740674018359,0.8062692193234798
28,0.6633945813394481,0.94522,0.9820105647918266,0.32685447164472875
29,0.9492957204620184,0.94453,0.9471148085270124,0.9168802636396924
30,0.6561049455285418,0.93812,0.9806351088044127,0.31224285555432
31,0.9721290133810352,0.98457,0.9846070779396577,0.9530166733512863
32,0.8960987319955338,0.97999,0.9840380220984515,0.7924627335712786
33,0.50349709042077,0.64506,0.9975174854521038,0.006994180841539839
34,0.9705848485307056,0.99084,0.9906633824322457,0.9480570975416336
35,0.5125103341376178,0.76904,0.9941956743472884,0.025033772374197905
36,0.6561861334261354,0.40993,0.8136246511571653,0.31386895276204213
37,0.9721869832109009,0.99113,0.9915357442703957,0.9451733833177132
38,0.9490250170719459,0.94947,0.9495675513485895,0.9574783401732786
39,0.9181984140992463,0.99267,0.9937940563154053,0.8366268382352942
mean,0.749511002495126,0.7516795413022336,0.9689590164993304,0.5075081482171875
std,0.1886299274075719,0.3347745179000324,0.06476828263042168,0.3779043162325208
