,macro,micro,weighted
0,0.9122552200229896,0.9848099629406188,0.9847964339425865
1,0.9112007406443574,0.9843781759052237,0.9847774250960432
2,0.9768256704373421,0.993008803728638,0.9930375160563781
3,0.9879214076790508,0.9954062589721504,0.9954080923758775
4,0.8034545488103897,0.9444093319776868,0.9464375879574918
5,0.95582108282583,0.9872089209576911,0.9873632585286501
6,0.8947109683542167,0.9796879599646747,0.9797478091856903
7,0.9793580822025132,0.9950032873109796,0.9950141931101345
8,0.9391725973655589,0.9784138151582987,0.9775544381071999
9,0.9909907986240479,0.9933321373041503,0.9932955259713909
10,0.9808151783919805,0.9886136136136137,0.9886848584533254
11,0.9859835724897075,0.9924603174603175,0.9924870548647101
12,0.9129526776996599,0.9955346882490068,0.9955081666870383
13,0.9891534401159584,0.9934234234234234,0.9934106306464127
14,0.9493179429269814,0.9949363739145077,0.995055482016427
15,0.9838985129520417,0.994018622433249,0.9940378656707823
16,0.9215246636334347,0.98928,0.9893634476057788
17,0.9550341720117584,0.9879408876916492,0.9880138248728578
18,0.9905924891508793,0.9963779052218533,0.9963755848907517
19,0.960246170853633,0.9890747393839449,0.9893169370957213
20,0.9721682582463543,0.9851359577922078,0.9850262848035398
21,0.9426043479406956,0.9872357267719911,0.9876550010351913
22,0.9589181207715034,0.9851539708265802,0.9852699929639537
23,0.9923829425976263,0.9961848556653403,0.9961857214580538
24,0.940178969159192,0.9868494044705498,0.9865737933659594
25,0.9253525816073445,0.99763,0.9975829713007093
26,0.9883904869715717,0.9955396684803239,0.9955396502028979
27,0.9765712268596616,0.9929418589660951,0.9928972452636506
28,0.9803287140104184,0.9896147774792988,0.9895429696743134
29,0.9551516959116323,0.9901161492070583,0.9901168916201697
30,0.967591084394956,0.9889940081993062,0.9890109940573933
31,0.8620051070420021,0.9922978597882731,0.9930560695517846
32,0.9784215952430895,0.9970173447884584,0.9970348614580996
33,0.9650878100205906,0.995174247240363,0.995208300976229
34,0.9625047456906377,0.9962909208192227,0.996238882560377
35,0.9946651081169611,0.9977943996931339,0.9977939426343653
36,0.8960200893991546,0.9827306894764126,0.9828890774686184
37,0.8609684084423639,0.9845646023263125,0.9846368706969697
38,0.9835624993150178,0.9963115289202246,0.9963026918598977
39,0.9504601140900878,0.9933892451899359,0.9931016423519659
40,0.988707309421057,0.99458163667411,0.994606410094798
41,0.9889506331427751,0.9943288006702327,0.9943437537315206
42,0.9808345417462707,0.9918595109141638,0.9918270677666454
43,0.9182776300956075,0.9671578669133681,0.9675403215178312
44,0.9916051694761634,0.9978219933298546,0.9978224003975835
45,0.9898829472839112,0.9959162674040966,0.995915360483654
46,0.9776668387896853,0.9920332310362999,0.9920648629479852
47,0.9643929789284105,0.9851380731414479,0.9855930774857182
48,0.990323880252815,0.9965298689380252,0.9965281872085148
49,0.984851537781032,0.9958613554061045,0.9958722060214587
mean,0.9562011461988185,0.9899903009228096,0.9900692727219018
std,0.04061894619966867,0.008898406435770258,0.008677863317992056
