,macro,micro,weighted
0,0.7272937667989746,0.99767,0.99767
1,0.7232151518311796,0.98489,0.98489
2,0.6863161808924805,0.9907602691573767,0.9907602691573767
3,0.7346264868967027,0.93486,0.93486
4,0.717447174474259,0.9911,0.9911
5,0.7192878062886062,0.9853215284249767,0.9853215284249767
6,0.7202539617339594,0.99792,0.99792
7,0.7415033511232013,0.99304,0.99304
8,0.6928836273587082,0.9893,0.9893
9,0.7263679700911698,0.96399,0.96399
10,0.7415654741016087,0.99558,0.99558
11,0.6999105868218286,0.98883,0.98883
12,0.7102456458223901,0.99608,0.99608
13,0.6870748173166182,0.9656028880866426,0.9656028880866426
14,0.697956584592136,0.99097,0.99097
15,0.6993698823148264,0.99604,0.99604
16,0.7291427477513007,0.99571,0.99571
17,0.6898655460152543,0.99338,0.99338
18,0.7116995231491711,0.99136,0.99136
19,0.7110300667312693,0.9875688561462107,0.9875688561462107
20,0.7314290984203864,0.99369,0.99369
21,0.7164510550126708,0.97798,0.97798
22,0.6934048992305097,0.99647,0.99647
23,0.7266293139410425,0.99159,0.99159
24,0.7150206145205971,0.99669,0.99669
25,0.6785374030245396,0.95012,0.95012
26,0.6756411404103037,0.99154,0.99154
27,0.7068213494092687,0.99044,0.99044
28,0.7300905317180576,0.9954,0.9954
29,0.735376353705758,0.88963,0.88963
30,0.7363227350388563,0.99384,0.99384
31,0.661593399837183,0.92364,0.92364
32,0.7188795626834489,0.95897,0.95897
33,0.6764026792937909,0.99699,0.99699
34,0.7402925831801415,0.99304,0.99304
35,0.6704273845230033,0.98863,0.98863
36,0.7243811117121918,0.98158,0.98158
37,0.7157755591913716,0.98966,0.98966
38,0.7045098900275236,0.8958,0.8958
39,0.7054945822357361,0.99367,0.99367
mean,0.7107634399805505,0.98048358854538,0.98048358854538
std,0.02112215270577904,0.026492527662834435,0.026492527662834435
