,macro,micro,weighted
0,0.7308407973194905,0.99767,0.9974920070512119
1,0.7297096598999957,0.98489,0.9811912567922993
2,0.6850832508971613,0.9907602691573767,0.9896352163016655
3,0.7073988624618268,0.93486,0.9088002008790709
4,0.7155368096203274,0.9911,0.9892455921751978
5,0.7108436019888547,0.9853215284249767,0.9843841743289605
6,0.7224901825816737,0.99792,0.9978262667325465
7,0.7287241007624163,0.99304,0.9919265086020771
8,0.6861520655060567,0.9893,0.9891249138046315
9,0.7083510841081774,0.96399,0.9601887601964497
10,0.7238083196020592,0.99558,0.99541657756965
11,0.7053584486271244,0.98883,0.9871667747174352
12,0.6907316660011433,0.99608,0.9960497703079512
13,0.7048947505851582,0.9656028880866426,0.9611863751995956
14,0.7162667314361987,0.99097,0.9903566605344255
15,0.7125607850047877,0.99604,0.995701271377815
16,0.733429402793953,0.99571,0.9953869729442408
17,0.7026118633421683,0.99338,0.9930927102638294
18,0.7223000451025188,0.99136,0.9902134577999879
19,0.7096983177232175,0.9875688561462107,0.9866018580424205
20,0.711587250472374,0.99369,0.9930535659192015
21,0.6296234986218043,0.97798,0.9810369093620757
22,0.7077637761286236,0.99647,0.9962709520285709
23,0.701278079120271,0.99159,0.9913067416827936
24,0.7212812731572397,0.99669,0.9963479060590186
25,0.7052992269595377,0.95012,0.9330844785055239
26,0.6911634833330075,0.99154,0.9905438590063435
27,0.7119005388752428,0.99044,0.9891313422536332
28,0.7292227055279223,0.9954,0.9949480266860588
29,0.6715293724680819,0.88963,0.8492532422084637
30,0.7300094265875183,0.99384,0.9929817990842857
31,0.6780111790066518,0.92364,0.9146204594762714
32,0.684607254576652,0.95897,0.9565049364635906
33,0.6931822545760314,0.99699,0.996779924690788
34,0.73252627764869,0.99304,0.9916182946291896
35,0.6718585843709253,0.98863,0.9879926154999966
36,0.7245412998519051,0.98158,0.9756002278658806
37,0.723700747418628,0.98966,0.9879714546714062
38,0.49770652550786665,0.8958,0.9406612021309734
39,0.711644797667927,0.99367,0.992687769017708
mean,0.7018807074310301,0.98048358854538,0.9783345758215811
std,0.039229218391234506,0.026492527662834435,0.030391287712997057
