,10,1,9
0,18.0,,
1,49.0,4.0,3.0
2,19.0,,3.0
3,24.0,,2.0
4,47.0,29.0,5.0
5,45.0,1.0,4.0
6,3.0,25.0,
7,86.0,5.0,16.0
8,99.0,5.0,
9,440.0,23.0,16.0
10,97.0,4.0,
11,50.0,4.0,
12,10.0,,
13,32.0,28.0,2.0
14,31.0,126.0,6.0
15,2.0,,
16,42.0,1.0,
17,64.0,14.0,
18,16.0,3.0,1.0
19,23.0,,2.0
20,209.0,2.0,1.0
21,1.0,1.0,1.0
22,24.0,1.0,
23,52.0,1.0,
24,22.0,,
25,38.0,1689.0,476.0
26,59.0,10.0,
27,22.0,2.0,1.0
28,12.0,11.0,4.0
29,61.0,136.0,117.0
30,421.0,5.0,1.0
31,29.0,5.0,11.0
32,177.0,,7.0
33,69.0,,
34,14.0,17.0,1.0
35,12.0,1.0,2.0
36,33.0,722.0,59.0
37,29.0,20.0,5.0
38,13.0,2724.0,100.0
39,26.0,,
total,2520.0,5619.0,846.0
mean,63.0,187.3,33.84
std,95.35251734538824,580.729930108771,97.03035607478724
