,0,1,2,3,4,5
0,0.981928550920799,0.9598793759014029,0.910169119262025,0.6153846153846154,0.9051584835301429,0.9971506246105788
1,0.9777486267114864,0.9489600765001195,0.9249242977968049,0.9335054874112331,0.9247965486812433,0.9962272753867043
2,0.5483765216694472,0.28780487804878047,0.3219538523815949,0.06481481481481481,0.7172164925489497,0.95512808104896
3,0.9557750107342207,0.7988077496274217,0.9731161078946188,0.9285714285714286,0.8470804175748538,0.99716845104723
4,0.9656700480512547,0.9260759553818557,0.9634554673299531,0.8685258964143426,0.8095753731920489,0.9916751685861548
5,0.9562007048162443,0.8817070644292522,0.9599357687675633,0.3225806451612903,0.8164465717086673,0.9938211181448209
6,0.9755899242796402,0.9426356589147287,0.9609349983989753,0.9777777777777777,0.8979694158937077,0.9980101347635567
7,0.9779126737828099,0.9310477165152872,0.9048067860508954,0.8996282527881041,0.882259691598213,0.9932654420031217
8,0.9440104877915552,0.8683755760368663,0.9475938239603291,0.6206896551724138,0.8191556395715186,0.9923072304610531
9,0.9702944370422286,0.9442851801071919,0.8579049816163218,0.9133858267716536,0.8787878787878788,0.9891118561888717
10,0.9776557512444474,0.9389886638644759,0.9644005238718895,0.9653679653679653,0.8316873292708552,0.9962185631065918
11,0.9467493695560634,0.9503005672678012,0.9455959734614505,0.9375,0.8337218921561255,0.9913256963327699
mean,0.9314926755500164,0.8649057052162653,0.8862326417327018,0.7539776971363032,0.8469879778761836,0.990950803473368
std,0.12133913457707488,0.18757639527487244,0.18079423729504004,0.293712122689079,0.056125088613524936,0.011620014472099965
