,7,10,1,9
0,1.0,,,
1,1.0,4.0,2.0,
2,1.0,1.0,,
3,1.0,4.0,7.0,23.0
4,,3.0,2.0,
5,6.0,,,
6,,1.0,,
7,1.0,4.0,4.0,5.0
8,,17.0,43.0,1.0
9,6.0,115.0,,29.0
10,5.0,2.0,,
11,3.0,3.0,2.0,2.0
12,,,1.0,
13,,2.0,1.0,
14,1.0,1.0,1.0,1.0
15,,2.0,,
16,2.0,1.0,,
17,,2.0,,
18,2.0,1.0,2.0,
19,3.0,2.0,1.0,1.0
20,,7.0,5.0,1.0
21,,1.0,4.0,
22,,2.0,,1.0
23,14.0,7.0,1.0,1.0
24,2.0,3.0,1.0,1.0
25,,3.0,8.0,3.0
26,6.0,5.0,4.0,1.0
27,3.0,4.0,2.0,1.0
28,,4.0,1.0,
29,,,11.0,120.0
30,,3.0,1.0,1.0
31,3.0,3.0,2.0,8.0
32,7.0,2.0,1.0,
33,2.0,1.0,,
34,,5.0,1.0,
35,2.0,,,
36,5.0,,5.0,
37,1.0,9.0,4.0,
38,,3.0,,
39,,1.0,4.0,1.0
total,78.0,228.0,121.0,201.0
mean,3.391304347826087,6.705882352941177,4.481481481481482,11.166666666666666
std,3.0262357421057633,19.379041180529256,8.097342253292222,28.324277676268338
