,8,3,5,7,2,1,4,6
0,5.0,1.0,1.0,1.0,,,,
1,,,5.0,1.0,,,,
2,3.0,,,,2.0,1.0,,
3,5.0,1.0,6.0,,1.0,,2.0,
4,4.0,,2.0,,1.0,,1.0,38.0
5,16.0,3.0,3.0,,,,2.0,5.0
6,22.0,2.0,,,1.0,,1.0,3.0
7,2.0,,1.0,8.0,1.0,1.0,,
8,4.0,1.0,1.0,15.0,,4.0,5.0,
9,2.0,,2.0,2.0,1.0,,2.0,1.0
10,7.0,2.0,2.0,8.0,2.0,,2.0,
11,8.0,2.0,,8.0,,,2.0,1.0
12,8.0,1.0,4.0,2.0,,,3.0,1.0
13,6.0,2.0,4.0,,3.0,,,
14,10.0,2.0,1.0,1.0,1.0,,,
15,5.0,,,5.0,,,,
16,11.0,3.0,2.0,,3.0,21.0,1.0,
17,7.0,,,,,1.0,,1.0
18,4.0,3.0,7.0,2.0,,,1.0,
19,,,7.0,2.0,,1.0,2.0,1.0
20,10.0,,,3.0,,2.0,,
21,8.0,4.0,1.0,1.0,,,1.0,
22,6.0,2.0,1.0,1.0,,,2.0,
23,7.0,1.0,3.0,3.0,,1.0,1.0,
24,9.0,,1.0,2.0,2.0,2.0,2.0,2.0
25,2.0,1.0,1.0,,,,1.0,
26,1.0,2.0,2.0,1.0,,,4.0,
27,5.0,,11.0,,,,2.0,2.0
28,6.0,1.0,4.0,,2.0,1.0,4.0,2.0
29,15.0,6.0,8.0,2.0,,1.0,3.0,2.0
30,4.0,5.0,3.0,1.0,,,,2.0
31,3.0,3.0,2.0,1.0,,,2.0,3.0
32,8.0,1.0,1.0,,,,2.0,
33,2.0,,,1.0,,,,2.0
34,1.0,6.0,,1.0,,,,
35,6.0,3.0,3.0,4.0,,1.0,1.0,
36,6.0,1.0,3.0,3.0,,,1.0,1.0
37,8.0,,,,,,2.0,
38,6.0,,1.0,1.0,,,1.0,1.0
39,5.0,4.0,1.0,,,,1.0,1.0
40,2.0,2.0,1.0,1.0,,,1.0,
41,2.0,1.0,2.0,1.0,,1.0,1.0,
42,3.0,1.0,7.0,,,,5.0,
43,10.0,3.0,3.0,,,,1.0,
44,4.0,,2.0,,,,3.0,
45,3.0,1.0,,,,,1.0,1.0
46,1.0,,1.0,,,,16.0,1.0
47,9.0,2.0,6.0,1.0,,,7.0,3.0
48,5.0,2.0,3.0,,,,,1.0
49,2.0,1.0,1.0,,,,,2.0
total,288.0,76.0,120.0,83.0,20.0,38.0,89.0,77.0
mean,6.0,2.235294117647059,3.0,2.8620689655172415,1.6666666666666667,2.923076923076923,2.4722222222222223,3.347826086956522
std,4.125684985035174,1.4154734410749612,2.4072539946735563,3.192895438436432,0.7784989441615229,5.49941721854141,2.7096242344767094,7.619405224056497
